latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.0,35.0,1147.0,10800,Europe/Istanbul,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),snowfall (cm)
2025-04-22,48627.04,2025-04-22T19:23,2025-04-22T05:53
2025-04-23,48766.95,2025-04-23T19:24,2025-04-23T05:51
2025-04-24,48906.21,2025-04-24T19:25,2025-04-24T05:50
2025-04-25,49044.73,2025-04-25T19:26,2025-04-25T05:49
2025-04-26,49182.38,2025-04-26T19:27,2025-04-26T05:47
2025-04-27,49319.05,2025-04-27T19:28,2025-04-27T05:46
2025-04-28,49454.62,2025-04-28T19:29,2025-04-28T05:45
2025-04-29,49588.98,2025-04-29T19:30,2025-04-29T05:44
2025-04-30,49722.00,2025-04-30T19:31,2025-04-30T05:42
2025-05-01,49853.55,2025-05-01T19:32,2025-05-01T05:41
2025-05-02,49983.53,2025-05-02T19:33,2025-05-02T05:40
2025-05-03,50111.78,2025-05-03T19:34,2025-05-03T05:39
2025-05-04,50238.17,2025-05-04T19:35,2025-05-04T05:38
2025-05-05,50362.59,2025-05-05T19:36,2025-05-05T05:36
2025-05-06,50484.87,2025-05-06T19:37,2025-05-06T05:35
2025-05-07,50605.00,2025-05-07T19:38,2025-05-07T05:34
2025-05-08,50723.88,2025-05-08T19:39,2025-05-08T05:33
2025-05-09,50841.68,2025-05-09T19:40,2025-05-09T05:32
2025-05-10,50958.30,2025-05-10T19:41,2025-05-10T05:31
2025-05-11,51073.64,2025-05-11T19:42,2025-05-11T05:30
2025-05-12,51187.58,2025-05-12T19:42,2025-05-12T05:29
2025-05-13,51300.02,2025-05-13T19:43,2025-05-13T05:28
2025-05-14,51410.83,2025-05-14T19:44,2025-05-14T05:27
2025-05-15,51519.91,2025-05-15T19:45,2025-05-15T05:27
2025-05-16,51627.14,2025-05-16T19:46,2025-05-16T05:26
2025-05-17,51732.38,2025-05-17T19:47,2025-05-17T05:25
2025-05-18,51835.54,2025-05-18T19:48,2025-05-18T05:24
2025-05-19,51936.48,2025-05-19T19:49,2025-05-19T05:23
2025-05-20,52035.07,2025-05-20T19:50,2025-05-20T05:22
2025-05-21,52131.20,2025-05-21T19:51,2025-05-21T05:22
2025-05-22,52224.74,2025-05-22T19:51,2025-05-22T05:21
2025-05-23,52315.54,2025-05-23T19:52,2025-05-23T05:20
2025-05-24,52403.49,2025-05-24T19:53,2025-05-24T05:20
2025-05-25,52488.45,2025-05-25T19:54,2025-05-25T05:19
2025-05-26,52570.29,2025-05-26T19:55,2025-05-26T05:18
2025-05-27,52648.94,2025-05-27T19:55,2025-05-27T05:18
2025-05-28,52725.05,2025-05-28T19:56,2025-05-28T05:17
2025-05-29,52798.73,2025-05-29T19:57,2025-05-29T05:17
2025-05-30,52869.93,2025-05-30T19:58,2025-05-30T05:16
2025-05-31,52938.55,2025-05-31T19:58,2025-05-31T05:16
2025-06-01,53004.54,2025-06-01T19:59,2025-06-01T05:16
2025-06-02,53067.80,2025-06-02T20:00,2025-06-02T05:15
2025-06-03,53128.29,2025-06-03T20:00,2025-06-03T05:15
2025-06-04,53185.91,2025-06-04T20:01,2025-06-04T05:15
2025-06-05,53240.58,2025-06-05T20:02,2025-06-05T05:14
2025-06-06,53292.26,2025-06-06T20:02,2025-06-06T05:14
2025-06-07,53340.85,2025-06-07T20:03,2025-06-07T05:14
2025-06-08,53386.29,2025-06-08T20:04,2025-06-08T05:14
